order_id,order_date,updated_date,status,channel,fulfillment,shipping_tier,product_id,category,quantity,currency,unit_price,tax,shipping_cost,discount,city,state,country,payment_method,is_business
ORD-0050,2026-03-01 07:06:30,2026-03-02 15:41:39,Shipped,MX,Seller,Standard,PROD-22,Seasoning,1,MXN,99.0,,42.73,,SAN PEDRO GARZA GARCIA,NUEVO LEON,MX,CreditCard,False
ORD-0050,2026-03-01 07:06:30,2026-03-02 15:41:39,Shipped,MX,Seller,Standard,PROD-17,Bundle,1,MXN,540.0,,53.08,,SAN PEDRO GARZA GARCIA,NUEVO LEON,MX,CreditCard,False
ORD-0585,2026-03-01 03:10:20,2026-03-02 15:43:44,Shipped,MX,Seller,Standard,PROD-26,Seasoning,1,MXN,99.0,,29.11,,CORREGIDORA,QUERETARO,MX,CreditCard,False
ORD-0585,2026-03-01 03:10:20,2026-03-02 15:43:44,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,29.75,,CORREGIDORA,QUERETARO,MX,CreditCard,False
ORD-0585,2026-03-01 03:10:20,2026-03-02 15:43:44,Shipped,MX,Seller,Standard,PROD-08,Snack,1,MXN,150.0,,28.41,,CORREGIDORA,QUERETARO,MX,CreditCard,False
ORD-0083,2026-03-01 02:25:45,2026-03-02 15:41:39,Shipped,MX,Seller,Standard,PROD-44,Smoked Salt,1,MXN,135.0,,83.02,,SANTIAGO DE QUERETARO,QUERETARO,MX,CreditCard,False
ORD-0306,2026-03-01 02:01:40,2026-03-01 08:49:51,Cancelled,MX,Seller,Standard,PROD-33,Seasoning,0,,,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0110,2026-03-01 00:44:42,2026-03-02 15:41:40,Shipped,MX,Seller,Standard,PROD-44,Smoked Salt,1,MXN,135.0,,43.02,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0110,2026-03-01 00:44:42,2026-03-02 15:41:40,Shipped,MX,Seller,Standard,PROD-22,Seasoning,1,MXN,99.0,,42.73,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0609,2026-02-28 21:56:01,2026-03-02 15:44:42,Shipped,MX,Seller,Standard,PROD-29,Seasoning,1,MXN,99.0,13.66,71.13,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0269,2026-02-28 21:40:53,2026-03-01 10:24:47,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,,,HEROICA PUEBLA DE ZARAGOZA,PUEBLA,MX,Installments,False
ORD-0354,2026-02-28 19:55:24,2026-03-02 15:41:40,Shipped,MX,Seller,Standard,PROD-10,Bundle,1,MXN,495.0,,114.99,,MOROLEON,GUANAJUATO,MX,CreditCard,False
